.1 uf,3,"C1 C7 C601",21RZ310-RC
15 uf 15V,1,"C2",710-860080773002
47 nf,1,"C3",75-1C10Z5U473M050B
220 uf 25V,1,"C4", 140-REA221M1EBK0811P
22 uf 100V,1,"C5", 140-REA220M2ABK0811P
SB240E,3,"D1 D2 D601",625-SB240-E3
SB160-E3/54,1,"D3",625-SB160-E3
BRIDGEX,2,"D4 D5",750-KBL401-G
MCT6H,2,"IC1 IC2", 782-MCT6H
RJ45,2,"J1 J2",710-615008144221
Termination,1,"JP1",649-67997-404HLF
330 uh,1,"L1",673-PE-52627NL
C A0 A1 A2 A3 A4 A5 A6 A7,1,"P601",651-1725724
C B0 B1 B2 B3 B4 B5 B6 B7,1,"P602",651-1725724
10K Ohms,2,"R4 R6",603-CFR25SJT-52-10K
60 Ohms,2,"R1 R2", 71-RN60C60R0B/R
10 Ohms,2,"R3 R5",603-CFR-25JR-5210R
1.5K Ohms,2,"RP601 RP602",652-4116R-1LF-1.5K
10K Ohms,1,"RR2", 652-4605X-AP1-103LF
+ 15 in -,1,"T1",651-1725656
+ 15 out -,1,"T2",651-1725656
Motor 1,1,"T4", 651-1725685
Motor 2,1,"T5", 651-1725685
In Track1 Out,2,"T3 T6", 490-TB007-508-02BE
+ 12V -,1,"T601",651-1725656
ESP32_DEVKIT_C or TTGO-T1,1,"U0",  2x517-929974-01-19-RK (ESP32_DEVKIT_C) or 2x517-929850-01-18-10 (TTGO-T1)
TCAN332DR,1,"U1",595-TCAN332DR
LM2574N-5.0,1,"U3",926-LM2574N-5.0/NOPB
TC4428,2,"U7 U8", 579-TC4428VPA
74HCT00,1,"U9", 595-SN74AHC00N
PCA9685,1,"U601", 771-PCA9685PW,118
TBD62X83A,1,"U602", 757-TBD62083APG or 757-TBD62783APG
TBD62X83A,1,"U603",757-TBD62083APG or 757-TBD62783APG
