10uf 50V,4,"C4 C5 C6 C8",140-REA100M1HBK0511P
10 pf,4,"C1 C2 C3 C7",594-S100K25SL0N63L6R
6A05-T,4,"D1 D2 D3 D4",621-6A05-T
MCT6H,2,"IC1 IC2",782-MCT6H
TIP120,4,"Q1 Q2 Q3 Q4",863-TIP120G
1K Ohms,12,"R4 R5 R6 R9 R11 R12 R13 R14 R15 R16 R18 R20",279-2-1623927-3
510K Ohms,4,"R7 R8 R10 R17",660-CF1/4CT52R514J
270 Ohms,4,"R1 R2 R3 R19",603-CFR-25JR-52-270R
500K Ohms,4,"RV1 RV2 RV3 RV4",652-3309P-1-504
Uncoupler 1,1,"T1",571-2828374
Uncoupler 2,1,"T2",571-2828374
Uncoupler 3,1,"T3",571-2828374
Uncoupler 4,1,"T4",571-2828374
Power,1,"T5",571-2828372
GPIO,1,"T6",651-1725737,2x 651-1725685 
LM556,2,"U1 U2",926-LM556CN/NOPB
