1uf 35V,1,"C1",74-199D105X9035A1VE3
.1 uf,1,"C2",21RZ310-RC
1N4002,2,"D1 D2",833-1N4002-TP
MCT6H,1,"IC1",782-MCT6H 
RPi_GPIO,1,"J0",517-929975-01-20,2223
MPQ3725A,1,"Q1",610-MPQ3725A 
1K Ohms,2,"R3 R5",279-2-1623927-3 
1K Ohms,5,"R4 R12 R14 R16 R18",279-2-1623927-3
10K Ohms,3,"R8 R9 R11",603-CFR-25JR-5210K
10K Ohms,1,"R10", 603-CFR-25JR-5210K
100 Ohms,2,"R1 R2",603-CFR-25JR-52100R
270 Ohms,2,"R6 R7",603-CFR-25JR-52-270R
470 Ohms,4,"R13 R15 R17 R19",279-CFR50J470R
Motor 1,1,"T1",571-282834-5
Motor 2,1,"T2",571-282834-5
12 to 16 Volts,1,"T3",571-282834-2
LM324N,1,"U2",512-LM324N
74AHCT00,1,"U1",595-SN74AHC00N
1N5229B,1,"Z1",512-1N5229BTR
